Vercel CLI 50.1.3
Retrieving project…
> Environment Variables found for nivlawest1911-oss-projects/edintel-app [151ms]

 name                                                       value               environments                created    
 NEXT_PUBLIC_SITE_URL                                       Encrypted           Production                  2d ago     
 EXPO_PUBLIC_SUPABASE_KEY                                   Encrypted           Production                  5d ago     
 EXPO_PUBLIC_SUPABASE_URL                                   Encrypted           Production                  5d ago     
 NEXT_PUBLIC_AUTH_CALLBACK_URL                              Encrypted           Production                  5d ago     
 SUPABASE_KEY                                               Encrypted           Production                  5d ago     
 SUPABASE_SERVICE_ROLE_KEY                                  Encrypted           Production                  5d ago     
 NEXT_PUBLIC_SUPABASE_ANON_KEY                              Encrypted           Production                  5d ago     
 NEXT_PUBLIC_SUPABASE_URL                                   Encrypted           Production                  5d ago     
 XAI_API_KEY                                                Encrypted           Production                  5d ago     
 NEXT_PUBLIC_STRIPE_PUBLISHABLE_KEY                         Encrypted           Production                  5d ago     
 STRIPE_WEBHOOK_SECRET                                      Encrypted           Production                  5d ago     
 STRIPE_SECRET_KEY                                          Encrypted           Production                  5d ago     
 STRIPE_SITE_COMMAND_ANNUAL_ID                              Encrypted           Production                  5d ago     
 STRIPE_SITE_COMMAND_PRICE_ID                               Encrypted           Production                  5d ago     
 STRIPE_DIRECTOR_ANNUAL_ID                                  Encrypted           Production                  5d ago     
 STRIPE_DIRECTOR_PRICE_ID                                   Encrypted           Production                  5d ago     
 STRIPE_PRACTITIONER_ANNUAL_ID                              Encrypted           Production                  5d ago     
 STRIPE_PRACTITIONER_PRICE_ID                               Encrypted           Production                  5d ago     
 STRIPE_TOKEN_PRICE_ID                                      Encrypted           Production                  5d ago     
 SMTP_PASS                                                  Encrypted           Production                  5d ago     
 ROLLBAR_EDINTEL_APP_SERVER_TOKEN_1769584594                Encrypted           Production                  5d ago     
 REDIS_URL                                                  Encrypted           Production                  5d ago     
 POSTGRES_USER                                              Encrypted           Production                  5d ago     
 POSTGRES_URL_NO_SSL                                        Encrypted           Production                  5d ago     
 POSTGRES_URL_NON_POOLING                                   Encrypted           Production                  5d ago     
 POSTGRES_URL                                               Encrypted           Production                  5d ago     
 POSTGRES_PRISMA_URL                                        Encrypted           Production                  5d ago     
 POSTGRES_PASSWORD                                          Encrypted           Production                  5d ago     
 POSTGRES_HOST                                              Encrypted           Production                  5d ago     
 POSTGRES_DATABASE                                          Encrypted           Production                  5d ago     
 PGUSER                                                     Encrypted           Production                  5d ago     
 PGPASSWORD                                                 Encrypted           Production                  5d ago     
 PGHOST_UNPOOLED                                            Encrypted           Production                  5d ago     
 PGHOST                                                     Encrypted           Production                  5d ago     
 PGDATABASE                                                 Encrypted           Production                  5d ago     
 NEXT_PUBLIC_ROLLBAR_EDINTEL_APP_CLIENT_TOKEN_1769584594    Encrypted           Production                  5d ago     
 NEXT_PUBLIC_KNOCK_PUBLIC_API_KEY                           Encrypted           Production                  5d ago     
 NEXT_PUBLIC_HYPERTUNE_TOKEN                                Encrypted           Production                  5d ago     
 NEXT_PUBLIC_DESCOPE_PROJECT_ID                             Encrypted           Production                  5d ago     
 NEXT_PUBLIC_DESCOPE_BASE_URL                               Encrypted           Production                  5d ago     
 NEXT_PUBLIC_CHATBOT_ID                                     Encrypted           Production                  5d ago     
 NEXT_PUBLIC_CHATBASE_HOST                                  Encrypted           Production                  5d ago     
 NEON_PROJECT_ID                                            Encrypted           Production                  5d ago     
 MXBAI_STORE_ID                                             Encrypted           Production                  5d ago     
 MXBAI_API_KEY                                              Encrypted           Production                  5d ago     
 MUX_TOKEN_SECRET                                           Encrypted           Production                  5d ago     
 MUX_TOKEN_ID                                               Encrypted           Production                  5d ago     
 LMNT_API_KEY                                               Encrypted           Production                  5d ago     
 KV_URL                                                     Encrypted           Production                  5d ago     
 KV_REST_API_URL                                            Encrypted           Production                  5d ago     
 KV_REST_API_TOKEN                                          Encrypted           Production                  5d ago     
 KV_REST_API_READ_ONLY_TOKEN                                Encrypted           Production                  5d ago     
 KNOCK_API_KEY                                              Encrypted           Production                  5d ago     
 KERNEL_API_KEY                                             Encrypted           Production                  5d ago     
 GROQ_API_KEY                                               Encrypted           Production                  5d ago     
 EXPERIMENTATION_CONFIG_ITEM_KEY                            Encrypted           Production                  5d ago     
 ELEVENLABS_API_KEY                                         Encrypted           Production                  5d ago     
 EDINTEL_SOVEREIGN_KEY                                      Encrypted           Production                  5d ago     
 DESCOPE_PROJECT_ID                                         Encrypted           Production                  5d ago     
 DESCOPE_ISSUER                                             Encrypted           Production                  5d ago     
 DESCOPE_DISCOVERY_URL                                      Encrypted           Production                  5d ago     
 DATABASE_URL_UNPOOLED                                      Encrypted           Production                  5d ago     
 DIRECT_URL                                                 Encrypted           Production                  5d ago     
 DATABASE_URL                                               Encrypted           Production                  5d ago     
 CONVEX_DEPLOY_KEY                                          Encrypted           Production                  5d ago     
 AUTONOMA_SECRET_ID                                         Encrypted           Production                  5d ago     
 AUTONOMA_CLIENT_ID                                         Encrypted           Production                  5d ago     
 GOOGLE_GENERATIVE_AI_API_KEY                               Encrypted           Production                  5d ago     
 GOOGLE_CLIENT_SECRET                                       Encrypted           Production                  5d ago     
 GOOGLE_CLIENT_ID                                           Encrypted           Production                  5d ago     
 OPENAI_API_KEY                                             Encrypted           Production                  5d ago     
 HEYGEN_API_KEY                                             Encrypted           Production                  6d ago     
 SUPABASE_ANON_KEY                                          Encrypted           Production                  7d ago     
 SUPABASE_URL                                               Encrypted           Production                  7d ago     
 REPLICATE_API_TOKEN                                        Encrypted           Production, Preview         24d ago    
 SMTP_PORT                                                  Encrypted           Production                  27d ago    
 SMTP_HOST                                                  Encrypted           Production                  27d ago    
 SMTP_USER                                                  Encrypted           Production                  27d ago    
 NEXT_PUBLIC_SUPABASE_PUBLISHABLE_KEY                       Encrypted           Production                  27d ago    
 SUPABASE_JWT_SECRET                                        Encrypted           Production                  27d ago    
 SUPABASE_PUBLISHABLE_KEY                                   Encrypted           Production                  27d ago    
 SUPABASE_SECRET_KEY                                        Encrypted           Production                  27d ago    

